CAR_ID,品牌系列,主动式多仿形座椅,裸眼3D数字仪表屏,主动式多仿形座椅组件,智能魔术车身控制系统,多仿形座椅,MBUX智能人机交互系统实景穿越导航,AMG 扰流板,AMG Track Pace,畅新空气护盾,主动式环境氛围照明系统,主动式环境氛围灯,智能数字大灯DIGITAL LIGHT,M高性能卡钳,M运动型排气系统,星空全景天窗,循迹倒车,BMW环形光耀格栅,M运动型排气,魔毯智能空气悬挂系统,炫影光幕格栅	,炫影光幕格栅,Brembo赛车级刹车系统,自适应旋转悬浮Pad,智能扭矩控制系统i-TAC,遥控驾驶,全息透明影像系统,移动电站,舒奢一体式升舱顶,手机遥控泊车,碳纤维车顶,陶瓷刹车盘,魔术感应门,福祉座椅,Brembo布雷博制动卡钳,AR实景导航,对外供电功能,运动型排气系统,Sport Chrono 计时器表盘,HomeLink,Sport Chrono组件,带模式开关的Sport Chrono组件,中央锁止轮毂,智能召唤,“梦想之翼”前组合灯动态迎宾效果,“北斗之翼”后组合灯动态迎宾效果,侧旗标灯,nanoeTM纳米水离子,十周年纪念版内饰,Brembo刹车系统,三指导航飞屏,人车家生态空间,生态拓展空间,双屏互动带三指飞屏功能,三指飞屏（双屏导航互动）,三指飞屏（双屏导航共享）,第二排魔法吧台,540°全景影像系统(带透明底盘),影院幕布式遮物帘
70558,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67444,迈巴赫S级,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70557,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68040,迈巴赫S级,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72308,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72306,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68041,迈巴赫S级,(标配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61337,迈巴赫S级,(标配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67446,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70555,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72307,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70556,迈巴赫S级,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54579,迈巴赫S级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67445,迈巴赫S级,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72305,迈巴赫S级,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65978,奔驰G级,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65977,奔驰G级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66721,奔驰G级,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66524,奔驰G级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67435,奔驰G级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70926,迈巴赫GLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66811,迈巴赫GLS,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70927,迈巴赫GLS,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62314,迈巴赫GLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63209,迈巴赫GLS,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70925,迈巴赫GLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63122,奔驰E级(进口),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70201,奔驰E级(进口),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63123,奔驰E级(进口),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70202,奔驰E级(进口),,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59860,奔驰E级(进口),,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70203,奔驰E级(进口),,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63124,奔驰E级(进口),,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63125,奔驰E级(进口),,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63004,奔驰CLS,,,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63005,奔驰CLS,,,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63006,奔驰CLS,,,,,,(选配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65910,奔驰GLB AMG,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70754,奔驰EQE,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70753,奔驰EQE,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69750,奔驰EQE,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71114,奔驰CLA AMG,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68688,奔驰CLA AMG,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60934,奔驰E级AMG,,,,,,(标配),,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61685,奔驰EQS,,,,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61683,奔驰EQS,,,,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61684,奔驰EQS,,,,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72446,奔驰GLA AMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65909,奔驰GLA AMG,,,,,,,,(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62689,奔驰EQE AMG,,,,,,,,,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61343,奔驰EQS AMG,,,,,,,,,,,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69229,宝马X5,,,,,,,,,,,,,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64451,宝马X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64453,宝马X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64452,宝马X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64454,宝马X5,,,,,,,,,,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64449,宝马X5,,,,,,,,,,,,,(选配),(选配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64450,宝马X5,,,,,,,,,,,,,(标配),(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60890,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56718,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60891,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60888,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60756,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60889,宝马7系,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59249,宝马X7,,,,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59247,宝马X7,,,,,,,,,,,,,(标配),,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59248,宝马X7,,,,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59246,宝马X7,,,,,,,,,,,,,(标配),,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68903,宝马X7,,,,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68904,宝马X7,,,,,,,,,,,,,(标配),,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65130,宝马X6,,,,,,,,,,,,,(选配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63347,宝马X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63348,宝马X6,,,,,,,,,,,,,(标配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53749,宝马X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53748,宝马X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56579,宝马X4,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58854,宝马6系GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58851,宝马6系GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69295,宝马6系GT,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58852,宝马6系GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57568,宝马8系,,,,,,,,,,,,,(标配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57567,宝马8系,,,,,,,,,,,,,(标配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57566,宝马8系,,,,,,,,,,,,,(标配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57569,宝马8系,,,,,,,,,,,,,(标配),,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63899,宝马iX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63896,宝马iX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63476,宝马X5 M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61599,宝马Z4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61598,宝马Z4,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71352,宝马M240i,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69026,宝马M240i,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62587,宝马M760Le,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62417,宝马i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62416,宝马i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56703,宝马i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62415,宝马i7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60892,宝马i7,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62414,宝马i7,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57156,宝马XM,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62420,宝马XM,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62467,宝马XM,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68905,宝马X7 M60i,,,,,,,,,,,,,(标配),,,,,(标配),,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57279,宝马X3 M40i,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61600,宝马Z4 M40i,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51640,宝马X4 M40i,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63897,宝马iX M60,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62588,宝马i7 M70L,,,,,,,,,,,,,,,,,(标配),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71703,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69813,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71707,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72515,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71706,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66906,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71591,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71534,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45619,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72514,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71705,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69817,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69816,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69814,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69815,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71704,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71533,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71535,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52453,汉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
