CAR_ID,品牌系列,扬声器品牌名称,扬声器数量,杜比全景声(Dolby Atmos),车内环境氛围灯,主动式环境氛围灯,触摸式阅读灯,车外扬声器数量
69962,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69963,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72179,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69966,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69969,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72177,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69968,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72176,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72175,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
69970,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72178,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72174,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69967,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69965,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69971,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
72181,奔驰E级,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
69964,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72180,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(选配),,
72173,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
72182,奔驰E级,(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,(标配),,
70200,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
70197,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72169,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72172,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
70193,奔驰GLC,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
70199,奔驰GLC,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
70198,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72170,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72168,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72167,奔驰GLC,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
72171,奔驰GLC,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
70195,奔驰GLC,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
71972,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
71962,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
69626,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
71923,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
69596,奔驰C级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
69625,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
69627,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
69628,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
71924,奔驰C级,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
71973,奔驰C级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
72315,奔驰GLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
70263,奔驰GLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
70262,奔驰GLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
72316,奔驰GLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
72313,奔驰GLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
70264,奔驰GLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
72314,奔驰GLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
70265,奔驰GLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
71821,奔驰S级,,(标配)9喇叭,,(标配)64色,(选配),(标配),
71819,奔驰S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
71820,奔驰S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
71818,奔驰S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",(选配),(标配)64色,(标配),(标配),
67448,奔驰S级,,(标配)9喇叭,,(标配)64色,(选配),(标配),
67449,奔驰S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
67450,奔驰S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
67451,奔驰S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),(标配),
70558,迈巴赫S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
67444,迈巴赫S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
70557,迈巴赫S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),(标配),
68040,迈巴赫S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),(标配),
72308,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
72306,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
68041,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
61337,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
67446,迈巴赫S级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(选配),(标配),
70555,迈巴赫S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),(标配),
72307,迈巴赫S级,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),(标配),
70556,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
54579,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
67445,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,,(标配),
72305,迈巴赫S级,(标配)Burmester柏林之声,(标配)31喇叭,,(标配)64色,(标配),(标配),
72410,奔驰GLB,,(标配)7喇叭,,(选配)64色,,,
72409,奔驰GLB,,(标配)7喇叭,,(选配)64色,,,
68210,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
68208,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
68209,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
68970,奔驰GLB,,(标配)7喇叭,,(选配)64色,,,
72408,奔驰GLB,,(标配)7喇叭,,(选配)64色,,,
68207,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
68206,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
68996,奔驰GLB,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
69208,奔驰A级,,(标配)7喇叭,,,,,
69239,奔驰A级,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
65886,奔驰GLS,,(标配)10-11喇叭,,(标配)64色,,,
65918,奔驰GLS,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
70560,奔驰GLS,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
65978,奔驰G级,(标配)Burmester柏林之声,(标配)18喇叭,(标配),(标配)64色,,,
65977,奔驰G级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
66721,奔驰G级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
66524,奔驰G级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
67435,奔驰G级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
67805,奔驰V级,,(标配)8-9喇叭,,(标配)64色,,,
69449,奔驰V级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
67807,奔驰V级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
67806,奔驰V级,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
68065,奔驰G级AMG,(标配)Burmester柏林之声,(标配)18喇叭,(标配),(标配)64色,,,
67436,奔驰G级AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
63735,奔驰G级AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
72405,奔驰GLA,,(标配)6-7喇叭,,(选配)64色,,,
72406,奔驰GLA,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)6-7喇叭",,(标配)64色,,,
69235,奔驰GLA,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)6-7喇叭",,(标配)64色,,,
72407,奔驰GLA,,(标配)6-7喇叭,,(选配)64色,,,
69237,奔驰GLA,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)6-7喇叭",,(标配)64色,,,
69236,奔驰GLA,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)6-7喇叭",,(标配)64色,,,
67809,威霆,,(标配)9喇叭,,,,,
67810,威霆,,(标配)9喇叭,,,,,
67808,威霆,,(标配)9喇叭,,,,,
67813,威霆,,(标配)9喇叭,,,,,
67811,威霆,,(标配)9喇叭,,,,,
67812,威霆,,(标配)9喇叭,,,,,
70926,迈巴赫GLS,(标配)Burmester柏林之声,"(标配)13喇叭,(选配)26喇叭",,(标配)64色,,,
66811,迈巴赫GLS,(标配)Burmester柏林之声,"(标配)13喇叭,(选配)26喇叭",,(标配)64色,,,
70927,迈巴赫GLS,(标配)Burmester柏林之声,"(标配)13喇叭,(选配)26喇叭",,(标配)64色,,,
62314,迈巴赫GLS,(标配)Burmester柏林之声,"(标配)13喇叭,(选配)26喇叭",,(标配)64色,,,
63209,迈巴赫GLS,(标配)Burmester柏林之声,"(标配)13喇叭,(选配)26喇叭",,(标配)64色,,,
70925,迈巴赫GLS,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
69085,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,,,,
68971,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,,,,
72341,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,(标配)64色,,,
69086,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,,,,
72342,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,,,,
72343,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,(标配)64色,,,
69088,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,(标配)64色,,,
69084,奔驰CLA(进口),(选配)Burmester柏林之声,"(选配)14喇叭,(标配)6-7喇叭",,,,,
71445,奔驰CLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,(标配),,
71443,奔驰CLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,(标配),,
65901,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
71442,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
67283,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
67439,奔驰CLE,,(标配)8喇叭,,(标配)64色,(标配),,
71444,奔驰CLE,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,(标配),,
71441,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
69011,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
69012,奔驰CLE,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,(标配),,
60867,AMG GT,(标配)Burmester柏林之声,(标配)14喇叭,,(标配)64色,,,
67636,AMG GT,(选配)Burmester柏林之声,"(选配)14喇叭,(标配)10-11喇叭",,(标配)64色,,,
60868,AMG GT,(选配)Burmester柏林之声,"(选配)14喇叭,(标配)10-11喇叭",,(标配)64色,,,
63122,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,,,
70201,奔驰E级(进口),(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,,,
63123,奔驰E级(进口),(标配)Burmester柏林之声,(标配)21喇叭,(标配),(标配)64色,,,
70202,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
59860,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
70203,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
63124,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
63125,奔驰E级(进口),(选配)Burmester柏林之声,"(标配)8喇叭,(选配)13喇叭",,(标配)64色,,,
63004,奔驰CLS,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)10-11喇叭",,(标配)64色,,,
63005,奔驰CLS,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
63006,奔驰CLS,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
61395,奔驰GLE AMG,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
70923,奔驰GLE AMG,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
70213,奔驰GLC轿跑,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)8-9喇叭",,(标配)64色,,,
70214,奔驰GLC轿跑,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
66516,奔驰C级AMG,(标配)Burmester柏林之声,,,(标配)多色,,,
66517,奔驰C级AMG,(标配)Burmester柏林之声,,,(标配)多色,,,
70273,奔驰GLE新能源,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)10-11喇叭",,(标配)64色,,,
71115,奔驰A级AMG,(选配)Burmester柏林之声,"(标配)10喇叭,(选配)12喇叭",,(标配)64色,,,
71170,奔驰CLE AMG,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
65910,奔驰GLB AMG,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)12喇叭",,(标配)64色,,,
71116,奔驰A级AMG(进口),(选配)Burmester柏林之声,"(选配)12喇叭,(标配)8-9喇叭",,(标配)64色,,,
68606,奔驰A级AMG(进口),(选配)Burmester柏林之声,"(选配)12喇叭,(标配)8-9喇叭",,(标配)64色,,,
66533,奔驰A级AMG(进口),(选配)Burmester柏林之声,"(选配)12喇叭,(标配)8-9喇叭",,(标配)64色,,,
68559,奔驰E级新能源,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
65775,奔驰E级新能源,(选配)Burmester柏林之声,"(标配)8喇叭,(选配)21喇叭",(选配),(标配)64色,(选配),,
70754,奔驰EQE,(选配)Burmester柏林之声,"(选配)15喇叭,(标配)待查",,(标配)64色,,(标配),
70753,奔驰EQE,(选配)Burmester柏林之声,"(选配)15喇叭,(标配)待查",,(标配)64色,,(标配),
69750,奔驰EQE,(选配)Burmester柏林之声,"(选配)15喇叭,(标配)待查",,(标配)64色,(选配),(标配),
69333,奔驰EQB,(选配)Burmester柏林之声,(标配)待查,(选配),(标配)64色,,,
69332,奔驰EQB,(选配)Burmester柏林之声,(标配)待查,(选配),(标配)64色,,,
71114,奔驰CLA AMG,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)8-9喇叭",,(标配)64色,,,
68688,奔驰CLA AMG,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)8-9喇叭",,(标配)64色,,,
69334,奔驰EQA,(选配)Burmester柏林之声,"(选配)12喇叭,(标配)6-7喇叭",,(标配)64色,,,
63847,奔驰GLC AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
62313,奔驰GLS AMG,(标配)Burmester柏林之声,,,(标配)64色,,,
70838,奔驰GLE轿跑,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)10-11喇叭",,(标配)64色,,,
70837,奔驰GLE轿跑,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
70836,奔驰GLE轿跑,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)10-11喇叭",,(标配)64色,,,
70835,奔驰GLE轿跑,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
59841,奔驰B级,,(标配)6-7喇叭,,(选配)64色,,,
59842,奔驰B级,,(标配)6-7喇叭,,(选配)64色,,,
59847,奔驰A级(进口),,(标配)6-7喇叭,,(选配)64色,,,
59846,奔驰A级(进口),,(标配)8-9喇叭,,(标配)64色,,,
60934,奔驰E级AMG,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
69745,奔驰C级新能源,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
71974,奔驰C级新能源,(选配)Burmester柏林之声,"(标配)5喇叭,(选配)15喇叭",,(标配)64色,,,
64290,奔驰SL级AMG,(标配)Burmester柏林之声,,,(标配)多色,,,
61685,奔驰EQS,(选配)Burmester柏林之声,"(标配)9喇叭,(选配)15喇叭",,(标配)多色,,(标配),
61683,奔驰EQS,(选配)Burmester柏林之声,"(标配)9喇叭,(选配)15喇叭",,(标配)多色,,(标配),
61684,奔驰EQS,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)多色,,(标配),
67883,奔驰G级新能源,(标配)Burmester柏林之声,(标配)18喇叭,(标配),(标配)64色,,,
68027,奔驰GLC轿跑 AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,,
68264,奔驰GLC新能源,(选配)Burmester柏林之声,"(标配)7喇叭,(选配)15喇叭",,(标配)64色,(标配),,
71117,奔驰S级AMG新能源,(标配)Burmester柏林之声,,,(标配)多色,(标配),,
67865,奔驰S级AMG新能源,(标配)Burmester柏林之声,,,(标配)多色,(标配),,
65986,奔驰S级新能源,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,(标配),
71822,奔驰S级新能源,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,,(标配),
72446,奔驰GLA AMG,(标配)Burmester柏林之声,(标配)12喇叭,,(标配)64色,,,
65909,奔驰GLA AMG,(标配)Burmester柏林之声,(标配)12喇叭,,(标配)64色,,,
68011,迈巴赫EQS SUV,(标配)Burmester柏林之声,(标配)≥12喇叭,,(标配)64色,(标配),,
68012,迈巴赫EQS SUV,(标配)Burmester柏林之声,(标配)≥12喇叭,,(标配)64色,(标配),,
67866,奔驰C级AMG新能源,(标配)Burmester柏林之声,,,(标配)多色,,,
71311,AMG GT新能源,(标配)Burmester柏林之声,,,(标配)64色,,,
61518,迈巴赫S级新能源,(标配)Burmester柏林之声,"(标配)15喇叭,(选配)31喇叭",,(标配)64色,(标配),,
70924,奔驰GLE轿跑 AMG,(标配)Burmester柏林之声,(标配)13喇叭,,(标配)64色,,,
1016346,乌尼莫克U5023,,,,,,,
61039,奔驰EQS SUV,(选配)Burmester柏林之声,"(标配)9喇叭,(选配)15喇叭",,(标配)64色,(标配),(标配),
61040,奔驰EQS SUV,(选配)Burmester柏林之声,"(标配)9喇叭,(选配)15喇叭",,(标配)64色,(标配),(标配),
61041,奔驰EQS SUV,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),(标配),
1016347,乌尼莫克U4023,,,,,,,
69663,奔驰EQE SUV AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),(标配),
62689,奔驰EQE AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)64色,(标配),,
61343,奔驰EQS AMG,(标配)Burmester柏林之声,(标配)15喇叭,,(标配)多色,(标配),(标配),
60653,奔驰GLE轿跑新能源,(选配)Burmester柏林之声,"(选配)13喇叭,(标配)10-11喇叭",,(标配)64色,,,
66162,宝马5系,"(选配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(选配)12喇叭,(选配)18喇叭,(标配)待查",,(标配)多色,,,
71245,宝马5系,"(选配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(选配)12喇叭,(选配)18喇叭,(标配)待查",,(标配)多色,,,
71240,宝马5系,"(标配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(标配)12喇叭,(选配)18喇叭",,(标配)多色,,,
65488,宝马5系,"(标配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(标配)12喇叭,(选配)18喇叭",,(标配)多色,,,
66537,宝马5系,"(标配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(标配)12喇叭,(选配)18喇叭",,(标配)多色,,,
66502,宝马5系,"(标配)Harman/Kardon哈曼卡顿,(选配)Bowers & Wilkins宝华韦健","(标配)12喇叭,(选配)18喇叭",,(标配)多色,,,
