CAR_ID,品牌系列,中央差速器锁止功能,限滑差速器_差速锁,低速四驱,蠕行模式,坦克转弯,拖挂钩,拖车取电口
65978,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
65977,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
66721,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
66524,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
67435,奔驰G级,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
68065,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
67436,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
63735,奔驰G级AMG,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",(标配),无,无,无,无
60867,AMG GT,无,(选配)后桥差速锁,无,无,无,无,无
67636,AMG GT,无,无,无,无,无,无,无
60868,AMG GT,无,无,无,无,无,无,无
61395,奔驰GLE AMG,无,无,无,无,无,无,无
70923,奔驰GLE AMG,无,(标配)后桥差速锁,无,无,无,无,无
62313,奔驰GLS AMG,无,(标配)后桥差速锁,无,无,无,无,无
67883,奔驰G级新能源,无,无,(标配),(标配),(标配),无,无
67866,奔驰C级AMG新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
1016346,乌尼莫克U5023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",无,无,无,无,无
1016347,乌尼莫克U4023,(标配),"(标配)前桥差速锁,(标配)后桥差速锁",无,无,无,无,无
68089,宝马4系,无,无,无,无,无,无,无
62545,宝马4系,无,无,无,无,无,无,无
62537,宝马4系,无,无,无,无,无,无,无
62543,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62541,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62542,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62538,宝马4系,无,无,无,无,无,无,无
62539,宝马4系,无,无,无,无,无,无,无
62540,宝马4系,无,无,无,无,无,无,无
68088,宝马4系,无,无,无,无,无,无,无
68087,宝马4系,无,无,无,无,无,无,无
68086,宝马4系,无,无,无,无,无,无,无
69184,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
62544,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
69183,宝马4系,无,(选配)后桥限滑差速器,无,无,无,无,无
59249,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59247,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59248,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
59246,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
68903,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
68904,宝马X7,无,(选配)后桥差速锁,无,无,无,无,无
65130,宝马X6,无,无,无,无,无,无,无
63347,宝马X6,无,无,无,无,无,无,无
63348,宝马X6,无,"(选配)后桥限滑差速器,(选配)后桥差速锁",无,无,无,无,无
67851,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
67850,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62945,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
67852,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62946,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
62944,宝马M4,无,(标配)后桥限滑差速器,无,无,无,无,无
58578,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
69061,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
57218,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
69060,宝马M3,无,(标配)后桥限滑差速器,无,无,无,无,无
57568,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
57567,宝马8系,无,无,无,无,无,无,无
57566,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
57569,宝马8系,无,(标配)后桥限滑差速器,无,无,无,无,无
60755,宝马M2,无,(标配)后桥限滑差速器,无,无,无,无,无
68928,宝马M2,无,(标配)后桥限滑差速器,无,无,无,无,无
63476,宝马X5 M,无,(标配)后桥限滑差速器,无,无,无,无,无
71352,宝马M240i,无,(标配)后桥限滑差速器,无,无,无,无,无
69026,宝马M240i,无,(标配)后桥限滑差速器,无,无,无,无,无
69412,宝马M235L,无,(标配)前桥限滑差速器,无,无,无,无,无
57156,宝马XM,无,无,无,无,无,无,无
62420,宝马XM,无,(标配)后桥限滑差速器,无,无,无,无,无
62467,宝马XM,无,(标配)后桥限滑差速器,无,无,无,无,无
51645,宝马X3 M,无,(标配)后桥限滑差速器,无,无,无,无,无
68905,宝马X7 M60i,无,(标配)后桥限滑差速器,无,无,无,无,无
57279,宝马X3 M40i,无,(标配)后桥限滑差速器,无,无,无,无,无
63477,宝马X6 M,无,(标配)后桥限滑差速器,无,无,无,无,无
68878,宝马M5新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
61600,宝马Z4 M40i,无,(标配)后桥限滑差速器,无,无,无,无,无
51640,宝马X4 M40i,无,(标配)后桥限滑差速器,无,无,无,无,无
51644,宝马X4 M,无,(标配)后桥限滑差速器,无,无,无,无,无
72208,唐L,无,无,无,无,无,无,无
72468,唐L,无,无,无,无,无,无,无
71390,唐L,无,无,无,无,无,(标配)电动,(标配)
71391,唐L,无,无,无,无,无,无,无
71291,唐L,无,无,无,无,无,无,无
71389,唐L,无,无,无,无,无,无,无
71700,唐新能源,无,无,无,无,无,无,无
67875,唐新能源,无,无,无,无,无,无,无
67874,唐新能源,无,无,无,无,无,无,无
67879,唐新能源,无,无,无,无,无,无,无
71699,唐新能源,无,无,无,无,无,无,无
67877,唐新能源,无,无,无,无,无,无,无
66835,唐新能源,无,无,无,无,无,无,无
67878,唐新能源,无,无,无,无,无,无,无
66858,唐新能源,无,无,无,无,无,无,无
70476,唐新能源,无,无,无,无,无,无,无
66857,唐新能源,无,无,无,无,无,无,无
71701,唐新能源,无,无,无,无,无,无,无
67876,唐新能源,无,无,无,无,无,无,无
70475,唐新能源,无,(标配)后桥差速锁,无,无,无,无,无
71702,唐新能源,无,无,无,无,无,无,无
70416,唐新能源,无,无,无,无,无,无,无
70454,唐新能源,无,无,无,无,无,无,无
66775,唐新能源,无,无,无,无,无,无,无
66263,奥迪RS 7,无,(标配)后桥限滑差速器,无,无,无,无,无
66265,奥迪RS 6,无,(标配)后桥限滑差速器,无,无,无,无,无
66639,奥迪RS 6,无,(标配)后桥限滑差速器,无,无,无,无,无
66009,奥迪S5,无,(选配)后桥限滑差速器,无,无,无,无,无
66010,奥迪S5,无,(选配)后桥限滑差速器,无,无,无,无,无
66008,奥迪S5,无,(选配)后桥限滑差速器,无,无,无,无,无
66276,奥迪RS 4,无,(标配)后桥限滑差速器,无,无,无,无,无
66275,奥迪RS 4,无,(标配)后桥限滑差速器,无,无,无,无,无
66274,奥迪RS 4,无,(标配)后桥限滑差速器,无,无,无,无,无
71606,奥迪RS Q8,无,(标配)后桥限滑差速器,无,无,无,无,无
55117,奥迪RS Q8,无,(标配)后桥限滑差速器,无,无,无,无,无
66268,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
66267,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
66269,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
66270,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
66271,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
66272,奥迪RS 5,无,(标配)后桥限滑差速器,无,无,无,无,无
63435,奥迪SQ5,无,(选配)后桥限滑差速器,无,无,无,无,无
66921,奥迪SQ5,无,(选配)后桥限滑差速器,无,无,无,无,无
64048,奥迪S8,无,(标配)后桥限滑差速器,无,无,无,无,无
70491,奥迪S8,无,(标配)后桥限滑差速器,无,无,无,无,无
63692,奥迪e-tron GT,无,(选配)后桥限滑差速器,无,无,无,无,无
65368,奥迪SQ7,无,无,无,无,无,无,无
68828,奥迪SQ7,无,(标配)后桥限滑差速器,无,无,无,无,无
67100,奥迪S6,无,(选配)后桥限滑差速器,无,无,无,无,无
61540,奥迪S6,无,(选配)后桥限滑差速器,无,无,无,无,无
60410,奥迪RS e-tron GT,无,(标配)后桥限滑差速器,无,无,无,无,无
59025,奥迪SQ5 Sportback,无,(选配)后桥限滑差速器,无,无,无,无,无
67867,奥迪SQ5 Sportback,无,(选配)后桥限滑差速器,无,无,无,无,无
61017,思域(进口),无,(标配)前桥限滑差速器,无,无,无,无,无
62661,Cayenne,无,无,无,无,无,无,无
68389,Cayenne,无,无,无,无,无,无,无
68388,Cayenne,无,(标配)后桥限滑差速器,无,无,无,无,无
62548,Cayenne,无,无,无,无,无,无,无
62549,Cayenne,无,无,无,无,无,无,无
68387,Cayenne,无,(标配)后桥限滑差速器,无,无,无,无,无
56905,Panamera,无,无,无,无,无,无,无
64337,Panamera,无,无,无,无,无,无,无
56897,Panamera,无,无,无,无,无,无,无
59231,Panamera,无,(标配)后桥限滑差速器,无,无,无,无,无
56901,Panamera,无,无,无,无,无,无,无
56909,Panamera,无,无,无,无,无,无,无
69214,Panamera,无,无,无,无,无,无,无
59232,Panamera,无,无,无,无,无,无,无
56908,Panamera,无,无,无,无,无,无,无
56899,Panamera,无,无,无,无,无,无,无
59230,Panamera,无,无,无,无,无,无,无
66024,Panamera,无,无,无,无,无,无,无
56907,Panamera,无,无,无,无,无,无,无
66023,Panamera,无,无,无,无,无,无,无
56904,Panamera,无,(选配)后桥限滑差速器,无,无,无,无,无
56902,Panamera,无,(标配)后桥限滑差速器,无,无,无,无,无
56906,Panamera,无,(标配)后桥限滑差速器,无,无,无,无,无
62370,Macan,无,(选配)后桥限滑差速器,无,无,无,无,无
62371,Macan,无,(选配)后桥限滑差速器,无,无,无,无,无
62372,Macan,无,(选配)后桥限滑差速器,无,无,无,无,无
62369,Macan,无,无,无,无,无,无,无
72222,Macan,无,无,无,无,无,无,无
68308,保时捷911,无,无,无,无,无,无,无
70029,保时捷911,无,无,无,无,无,无,无
68523,保时捷911,无,无,无,无,无,无,无
68526,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
57794,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
60599,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
57799,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
57793,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
68522,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
57800,保时捷911,无,(标配)后桥限滑差速器,无,无,无,无,无
70415,保时捷911,无,无,无,无,无,无,无
63210,保时捷911,无,无,无,无,无,无,无
57797,保时捷911,无,无,无,无,无,无,无
57801,保时捷911,无,无,无,无,无,无,无
60167,保时捷911,无,无,无,无,无,无,无
70553,保时捷911,无,无,无,无,无,无,无
69490,保时捷911,无,无,无,无,无,无,无
57792,保时捷911,无,无,无,无,无,无,无
57798,保时捷911,无,无,无,无,无,无,无
68527,保时捷911,无,无,无,无,无,无,无
57796,保时捷911,无,无,无,无,无,无,无
57802,保时捷911,无,无,无,无,无,无,无
68524,保时捷911,无,无,无,无,无,无,无
57795,保时捷911,无,无,无,无,无,无,无
68520,保时捷911,无,无,无,无,无,无,无
57803,保时捷911,无,无,无,无,无,无,无
56840,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56845,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56847,保时捷718,无,(标配)后桥限滑差速器,无,无,无,无,无
56842,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
53803,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56844,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56843,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
63018,保时捷718,无,无,无,无,无,无,无
56841,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56848,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
56846,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
60397,保时捷718,无,(选配)后桥限滑差速器,无,无,无,无,无
60396,保时捷718,无,(标配)后桥限滑差速器,无,无,无,无,无
67097,Taycan,无,(选配)后桥限滑差速器,无,无,无,无,无
66694,Taycan,无,(选配)后桥限滑差速器,无,无,无,无,无
66696,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
67096,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
70717,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
66697,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
67999,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
66590,Taycan,无,(选配)后桥限滑差速器,无,无,无,无,无
67098,Taycan,无,(选配)后桥限滑差速器,无,无,无,无,无
67099,Taycan,无,(标配)后桥限滑差速器,无,无,无,无,无
68381,Cayenne新能源,无,无,无,无,无,无,无
64514,Cayenne新能源,无,无,无,无,无,无,无
68383,Cayenne新能源,无,无,无,无,无,无,无
65016,Cayenne新能源,无,无,无,无,无,无,无
68385,Cayenne新能源,无,(标配)后桥差速锁,无,无,无,无,无
62501,Cayenne新能源,无,无,无,无,无,无,无
64513,Cayenne新能源,无,无,无,无,无,无,无
68382,Cayenne新能源,无,无,无,无,无,无,无
68384,Cayenne新能源,无,无,无,无,无,无,无
62500,Cayenne新能源,无,无,无,无,无,无,无
65015,Cayenne新能源,无,(标配)后桥差速锁,无,无,无,无,无
68386,Cayenne新能源,无,(标配)后桥差速锁,无,无,无,无,无
60569,Macan新能源,无,无,无,无,无,无,无
72223,Macan新能源,无,无,无,无,无,无,无
69233,Macan新能源,无,无,无,无,无,无,无
66569,Macan新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
56918,Panamera新能源,无,无,无,无,无,无,无
67461,Panamera新能源,无,无,无,无,无,无,无
56917,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
67460,Panamera新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
59233,Panamera新能源,无,(标配)后桥限滑差速器,无,无,无,无,无
56910,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
56912,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
67462,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
66022,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
59234,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
64338,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
56913,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
56919,Panamera新能源,无,(选配)后桥限滑差速器,无,无,无,无,无
71930,普拉多,(标配),无,(标配),无,无,无,无
66837,普拉多,(标配),无,(标配),无,无,无,无
71959,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),无,无,无
66898,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),无,无,无
64019,普拉多,(标配),(标配)后桥限滑差速器,(标配),(标配),无,无,无
71958,普拉多,(标配),无,(标配),无,无,无,无
66836,普拉多,(标配),无,(标配),无,无,无,无
71960,普拉多,(标配),无,(标配),无,无,无,无
66838,普拉多,(标配),"(标配)后桥限滑差速器,(标配)后桥差速锁",(标配),(标配),无,无,无
54680,丰田86,无,(标配)后桥限滑差速器,无,无,无,无,无
60398,丰田86,无,(标配)后桥限滑差速器,无,无,无,无,无
58313,丰田86,无,(标配)后桥限滑差速器,无,无,无,无,无
65874,铂智4X,无,无,无,无,无,无,无
70807,铂智4X,无,无,无,无,无,无,无
70805,铂智4X,无,无,无,无,无,无,无
65872,铂智4X,无,无,无,(标配),无,无,无
70808,铂智4X,无,无,无,无,无,无,无
70806,铂智4X,无,无,无,无,无,无,无
65875,铂智4X,无,无,无,无,无,无,无
65873,铂智4X,无,无,无,(标配),无,无,无
59174,SUPRA,无,无,无,无,无,无,无
59175,SUPRA,无,(标配)后桥限滑差速器,无,无,无,无,无
56233,一汽丰田bZ4X,无,无,无,无,无,无,无
56475,一汽丰田bZ4X,无,无,无,无,无,无,无
56849,一汽丰田bZ4X,无,无,无,无,无,无,无
56067,一汽丰田bZ4X,无,无,无,(标配),无,无,无
56850,一汽丰田bZ4X,无,无,无,(标配),无,无,无
52030,昂科旗,无,无,无,无,无,无,无
58458,昂科旗,无,无,无,无,无,无,无
52033,昂科旗,无,(标配)后桥限滑差速器,无,无,无,无,无
52032,昂科旗,无,(标配)后桥限滑差速器,无,无,无,无,无
52029,昂科旗,无,(标配)后桥限滑差速器,无,无,无,无,无
